
Measuring costs for CostType::Contract(VerifyMlDsa44Sig)


Measuring costs for CostType::Contract(VerifyMlDsa44Sig)

iterations        inputs     cpu_insns_total     cpu_insns_base     mem_bytes_total     mem_bytes_base     time_ns_total     time_ns_base     ave_net_input     ave_net_insns     ave_net_bytes     ave_net_ns     ave_net_insn_per_input     ave_net_bytes_per_input
       100     1,604,800         145,078,575             56,918                   0                  0        12,757,087          214,658            16,048         1,450,216                 0        125,424                         90     0
       100     1,618,400         145,735,372             56,918                   0                  0        11,319,169          214,658            16,184         1,456,784                 0        111,045                         90     0
       100     1,632,000         146,378,546             56,918                   0                  0        12,529,512          214,658            16,320         1,463,216                 0        123,148                         89     0
       100     1,645,600         147,028,569             56,918                   0                  0        12,702,538          214,658            16,456         1,469,716                 0        124,878                         89     0
       100     1,659,200         147,675,180             56,918                   0                  0        12,043,037          214,658            16,592         1,476,182                 0        118,283                         88     0
       100     1,672,800         148,321,775             56,918                   0                  0        12,466,163          214,658            16,728         1,482,648                 0        122,515                         88     0
       100     1,686,400         148,975,176             56,918                   0                  0        10,965,904          214,658            16,864         1,489,182                 0        107,512                         88     0
       100     1,700,000         149,618,378             56,918                   0                  0        12,550,787          214,658            17,000         1,495,614                 0        123,361                         87     0
       100     1,713,600         150,273,479             56,918                   0                  0        11,957,088          214,658            17,136         1,502,165                 0        117,424                         87     0
       100     1,727,200         150,920,121             56,918                   0                  0        11,212,901          214,658            17,272         1,508,632                 0        109,982                         87     0
       100     1,740,800         151,563,273             56,918                   0                  0        13,624,171          214,658            17,408         1,515,063                 0        134,095                         87     0
       100     1,754,400         152,214,973             56,918                   0                  0        12,166,667          214,658            17,544         1,521,580                 0        119,520                         86     0
       100     1,768,000         152,863,273             56,918                   0                  0        12,907,509          214,658            17,680         1,528,063                 0        126,928                         86     0
       100     1,781,600         153,511,571             56,918                   0                  0        12,328,943          214,658            17,816         1,534,546                 0        121,142                         86     0
       100     1,795,200         154,156,468             56,918                   0                  0        12,471,100          214,658            17,952         1,540,995                 0        122,564                         85     0
       100     1,808,800         154,811,574             56,918                   0                  0        13,396,889          214,658            18,088         1,547,546                 0        131,822                         85     0
       100     1,822,400         155,459,865             56,918                   0                  0        13,449,395          214,658            18,224         1,554,029                 0        132,347                         85     0
       100     1,836,000         156,101,368             56,918                   0                  0        12,770,516          214,658            18,360         1,560,444                 0        125,558                         84     0
       100     1,849,600         156,756,474             56,918                   0                  0        13,410,151          214,658            18,496         1,566,995                 0        131,954                         84     0
       100     1,863,200         157,396,263             56,918                   0                  0        13,759,874          214,658            18,632         1,573,393                 0        135,452                         84     0
       100     1,876,800         158,049,668             56,918                   0                  0        13,255,269          214,658            18,768         1,579,927                 0        130,406                         84     0
       100     1,890,400         158,701,375             56,918                   0                  0        13,360,522          214,658            18,904         1,586,444                 0        131,458                         83     0
       100     1,904,000         159,354,773             56,918                   0                  0        12,380,165          214,658            19,040         1,592,978                 0        121,655                         83     0
       100     1,917,600         159,999,674             56,918                   0                  0        13,378,231          214,658            19,176         1,599,427                 0        131,635                         83     0
       100     1,931,200         160,646,270             56,918                   0                  0        13,737,031          214,658            19,312         1,605,893                 0        135,223                         83     0
       100     1,944,800         161,292,873             56,918                   0                  0        13,243,923          214,658            19,448         1,612,359                 0        130,292                         82     0
       100     1,958,400         161,941,170             56,918                   0                  0        13,455,553          214,658            19,584         1,618,842                 0        132,408                         82     0
